date,product_id,location_id,demand,price,inventory_level,lead_time_days,stockout_rate,promotion_active,revenue,inventory_cost,stockout_cost,fulfillment_rate,inventory_turnover,profit_margin
2023-01-01,P000,L000,525.0,705.3577782332395,444.5121471713498,8,0.19246598500031276,0,370312.83357245073,171.80279480902468,71272.62427177862,0.8075340149996872,431.0905814822035,0.30000000000000004
2023-01-01,P000,L001,469.0,705.3577782332395,675.7125650218809,6,0.49334115922614613,0,330812.79799138935,261.16115813047526,163203.56924791692,0.5066588407738539,253.33996859220267,0.30000000000000004
2023-01-01,P000,L002,471.0,705.3577782332395,240.05131489254845,2,0.2981748419054127,0,332223.51354785584,92.77921212853465,99060.69362939264,0.7018251580945873,716.1593764939486,0.30000000000000004
2023-01-01,P001,L000,667.0,933.3663709383065,776.3304989675926,3,0.3299490103665653,0,622555.3694158505,397.04152354526394,205411.52803715135,0.6700509896334347,313.59710886505167,0.30000000000000004
2023-01-01,P001,L001,657.0,933.3663709383065,912.1675899907841,3,0.19813773592798659,0,613221.7057064674,466.51317981218597,121502.36039057754,0.8018622640720134,262.8957689698478,0.30000000000000004
2023-01-01,P001,L002,629.0,933.3663709383065,584.382795590855,9,0.27332560585444793,0,587087.4473201948,298.87301323803763,160466.03222833353,0.726674394145552,392.867486401396,0.30000000000000004
2023-01-01,P002,L000,421.0,295.5904317400183,212.38678291241453,9,0.09887789814065524,0,124443.5717625477,34.39972649696118,12304.718812996512,0.9011221018593447,723.5148905822891,0.3
2023-01-01,P002,L001,654.0,295.5904317400183,529.9841301640273,2,0.25981696328012177,0,193316.14235797196,85.84013032906459,50226.81306047599,0.7401830367198783,450.40971307220184,0.3
2023-01-01,P002,L002,654.0,295.5904317400183,851.8344925966378,6,0.16052796083755208,0,193316.14235797196,137.96938380146827,31032.646129707166,0.839472039162448,280.2304932174593,0.3
2023-01-01,P003,L000,492.0,403.30918561623076,339.827972362371,6,0.03533980505064538,0,198428.11932318553,75.09903714141525,7012.411053447576,0.9646601949493546,528.4438439591055,0.3
2023-01-01,P003,L001,562.0,403.30918561623076,631.0607430120277,1,0.10813276980877712,0,226659.7623163217,139.4589558019476,24509.34790346295,0.8918672301912229,325.0558718340214,0.3
2023-01-01,P003,L002,487.0,403.30918561623076,370.2931708854063,3,0.31147895206539344,0,196411.57339510438,81.83158202139452,61178.07105462222,0.6885210479346066,480.038558569608,0.3
2023-01-01,P004,L000,325.0,987.8554778628226,351.98192046762995,7,0.5211971327018717,0,321053.0303054173,190.52453054390392,167331.91884043065,0.47880286729812827,337.02015104184693,0.3
2023-01-01,P004,L001,233.0,987.8554778628226,192.93566954575329,4,0.4316959159517241,0,230170.32634203765,104.43427837583766,99363.58985513319,0.5683040840482759,440.79459334932466,0.3
2023-01-01,P004,L002,245.0,987.8554778628226,290.88431566161,2,0.22258006429554913,0,242024.59207639153,157.45296693189036,53869.84926546728,0.7774199357044509,307.4246192910223,0.3
2023-01-02,P000,L000,858.0,707.8194413787929,508.59091017047194,5,0.4322094992142632,0,607309.0807030044,197.25508708339467,262484.7536389201,0.5677905007857368,615.7601202409028,0.3000000000000001
2023-01-02,P000,L001,787.0,707.8194413787929,395.7290018389648,7,0.4989294519208773,0,557053.90036511,153.4820169967361,277930.5971995513,0.5010705480791227,725.8881675720436,0.3000000000000001
2023-01-02,P000,L002,793.0,707.8194413787929,728.9621966395094,2,0.05897435217743585,0,561300.8170133828,282.72526838993724,33102.35206002971,0.9410256478225641,397.0644861068673,0.3000000000000001
2023-01-02,P001,L000,989.0,936.6237725967852,549.5459225071071,5,0.4142593489170267,0,926320.9110982206,282.03713707056835,383737.09751977585,0.5857406510829732,656.878679680007,0.30000000000000004
2023-01-02,P001,L001,1058.0,936.6237725967852,1085.4738161157868,7,0.4609260077670358,0,990947.9514073988,557.0852497015876,456753.6831471349,0.5390739922329641,355.7616906705813,0.30000000000000004
2023-01-02,P001,L002,1482.0,936.6237725967852,1467.8374437152438,9,0.2843875642364515,1,1067751.100760335,753.3213392281607,303655.1347560216,0.7156124357635485,283.4782569293294,0.30000000000000004
2023-01-02,P002,L000,1056.0,296.62202746979847,1400.3600681197559,1,0.4340487279380504,0,313232.8610081072,227.60418772242585,135958.32486896505,0.5659512720619496,275.24349542294857,0.30000000000000004
2023-01-02,P002,L001,999.0,296.62202746979847,778.9714695466014,8,0.34963833666468874,0,296325.40544232866,126.60827213043358,103606.7218703453,0.6503616633353113,468.09801675051716,0.30000000000000004
2023-01-02,P002,L002,756.0,296.62202746979847,568.9102659432766,8,0.18235564664474313,0,224246.25276716764,92.46647481231614,40892.57043101737,0.8176443533552569,485.0325552527693,0.30000000000000004
2023-01-02,P003,L000,610.0,404.716714375581,390.9167943673587,5,0.39680011439731216,0,246877.1957691044,86.69071814279017,97960.89952326825,0.6031998856026879,569.5585434243782,0.30000000000000004
2023-01-02,P003,L001,963.3000000000001,404.716714375581,869.4772327049711,2,0.13404321655283655,1,299895.0853523055,192.81751717519364,40198.901869010486,0.8659567834471634,311.0662244238125,0.30000000000000004
2023-01-02,P003,L002,926.9,404.716714375581,473.14576831117085,8,0.41732161393393474,1,288563.0173497892,104.92602782005862,120423.58412206004,0.5826783860660653,550.0313379720354,0.30000000000000004
2023-01-02,P004,L000,317.0,991.3030437620447,426.8096001126872,2,0.22320079484887154,0,314243.0648725682,231.8343318896263,70139.3018553027,0.7767992051511284,271.0927775979062,0.3
2023-01-02,P004,L001,332.0,991.3030437620447,314.4137810387329,9,0.24507372922241857,0,329112.61052899883,170.78319898324875,80656.85479646716,0.7549262707775815,385.4156761184451,0.3
2023-01-02,P004,L002,357.0,991.3030437620447,310.4806890347575,9,0.4568873047476836,0,353895.18662304996,168.64682305177644,161690.21797938377,0.5431126952523164,419.68793745305265,0.3
2023-01-03,P000,L000,782.0,710.2781053669936,644.239789636831,5,0.18435949033968513,0,555437.4783969889,250.73392722481034,102400.17043282876,0.8156405096603149,443.049318889325,0.30000000000000004
2023-01-03,P000,L001,762.0,710.2781053669936,1087.6960033574596,7,0.3182997977924316,0,541231.9162896491,423.32419533150005,172274.0095138056,0.6817002022075684,255.7056375508218,0.30000000000000004
2023-01-03,P000,L002,973.7,710.2781053669936,1106.6894733052077,8,0.11138567517203493,1,531998.3009198782,430.71633004318846,59256.989938336046,0.8886143248279651,247.02954766843138,0.30000000000000004
2023-01-03,P001,L000,933.0,939.8772056131072,646.3213013313074,6,0.4954905112123426,0,876905.432837029,332.85625130054586,434498.3212013001,0.5045094887876573,526.8973795208941,0.30000000000000004
2023-01-03,P001,L001,823.0,939.8772056131072,807.4675041629666,1,0.4108604878845442,0,773518.9402195872,415.8467405129201,317808.3691665552,0.5891395121154558,372.02116302054054,0.30000000000000004
2023-01-03,P001,L002,917.0,939.8772056131072,960.908774735448,5,0.2914967535422504,0,861867.3975472193,494.8691802999823,251231.54836892252,0.7085032464577496,348.32130666321484,0.30000000000000004
2023-01-03,P002,L000,1105.0,297.652366359087,1016.5055438597334,6,0.3749504832410689,0,328905.86482679116,165.78919482026322,123323.41295762702,0.6250495167589312,396.7759963891101,0.30000000000000004
2023-01-03,P002,L001,1080.0,297.652366359087,1317.1860949228965,7,0.24644444582757763,0,321464.555667814,214.82934689812888,79223.1542747629,0.7535555541724224,299.2743405957949,0.30000000000000004
2023-01-03,P002,L002,1165.0,297.652366359087,1426.91224857793,4,0.0536905616856815,0,346765.00680833636,232.7253739046502,18618.00798847875,0.9463094383143185,298.0036091383909,0.30000000000000004
2023-01-03,P003,L000,890.5,406.12252827795106,855.6342582586669,2,0.2516055636735731,1,278193.9318703965,190.40676616177487,69995.14103881869,0.7483944363264269,292.210132526525,0.3
2023-01-03,P003,L001,978.9,406.12252827795106,594.7082042042849,8,0.1428577326527326,1,305810.26379329717,132.34213670086808,43687.360907444476,0.8571422673472674,462.15101466061077,0.3
2023-01-03,P003,L002,712.0,406.12252827795106,1032.1929314635574,5,0.4854412673917642,0,289159.2401339012,229.69687835430676,140369.82800864047,0.5145587326082358,251.77463638654584,0.3
